alfa, #resultado, tempo(ms), ultima_iteracao;
0.1,9,10987.6,500;
0.2,12,7731.85,500;
0.3,7,4856.83,500;
0.5,11,3175.12,500;
0.7,10,2383.28,500;
0.1,14,11563.6,500;
0.2,15,7656.24,500;
0.3,11,4898.82,500;
0.5,10,3188.6,500;
0.7,8,2365.64,500;
0.1,9,11259.9,500;
0.2,7,7710.01,500;
0.3,9,4909.44,500;
0.5,9,3190.93,500;
0.7,15,2414.69,500;
0.1,14,11535.2,500;
0.2,12,7584.07,500;
0.3,9,4901.11,500;
0.5,9,3280.07,500;
0.7,11,2802.82,500;
0.1,10,12607.3,500;
0.2,10,7581.09,500;
0.3,10,4990.32,500;
0.5,11,3257.68,500;
0.7,10,2396.19,500;
